DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
1/11/18;01501;Milano - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01501;Milano - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01502;Milano - Politecnico;01 ;Mense;1;200
1/11/18;01502;Milano - Politecnico;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01502;Milano - Politecnico;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01502;Milano - Politecnico;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01502;Milano - Politecnico;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;3;298
1/11/18;01502;Milano - Politecnico;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;298
1/11/18;01502;Milano - Politecnico;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01503;"Milano - Università commerciale ""Luigi Bocconi""";01 ;Mense;0;0
1/11/18;01503;"Milano - Università commerciale ""Luigi Bocconi""";02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01503;"Milano - Università commerciale ""Luigi Bocconi""";02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01503;"Milano - Università commerciale ""Luigi Bocconi""";02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01503;"Milano - Università commerciale ""Luigi Bocconi""";03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01503;"Milano - Università commerciale ""Luigi Bocconi""";03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01503;"Milano - Università commerciale ""Luigi Bocconi""";03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01504;"Milano - Università Cattolica del ""Sacro Cuore""";01 ;Mense;0;0
1/11/18;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
